xg,yg,zg,xa,ya,za,lat,long
105.0,52.5,-271.25,19.8,6.2,1003.5,ND,ND
129.5,57.75,-274.75,20.0,6.1,1003.15,ND,ND
127.75,56.0,-283.5,19.85,6.25,1003.85,ND,ND
113.75,59.5,-271.25,19.95,6.1,1003.35,ND,ND
115.5,70.0,-278.25,20.2,6.1,1003.6,ND,ND
110.25,61.25,-283.5,20.1,6.2,1003.35,ND,ND
105.0,70.0,-276.5,20.3,6.15,1003.55,ND,ND
115.5,64.75,-280.0,19.9,6.05,1003.4,ND,ND
122.5,63.0,-264.25,20.05,6.25,1003.1,ND,ND
126.0,66.5,-274.75,19.85,6.35,1003.55,ND,ND
115.5,64.75,-262.5,20.0,5.9,1003.25,ND,ND
