xg,yg,zg,xa,ya,za,lat,long
232.75,85.75,-346.5,-5.55,16.6,1013.15,ND,ND
203.0,77.0,-346.5,-6.1,17.55,1013.95,ND,ND
227.5,91.0,-336.0,-6.15,17.2,1013.95,ND,ND
224.0,99.75,-348.25,-6.35,17.0,1013.4,ND,ND
222.25,84.0,-348.25,-6.5,17.2,1014.25,ND,ND
206.5,82.25,-343.0,-6.15,17.45,1014.0,ND,ND
211.75,87.5,-344.75,0.0,-19.6,1013.75,ND,ND
185.5,78.75,-339.5,0.1,-20.0,1014.0,ND,ND
208.25,101.5,-350.0,0.05,-20.0,1013.6,ND,ND
208.25,84.0,-353.5,0.05,-19.95,1013.7,ND,ND
189.0,73.5,-337.75,-0.1,-19.85,1013.85,ND,ND
178.5,82.25,-341.25,0.2,-20.0,1013.5,ND,ND
206.5,77.0,-343.0,0.35,-19.85,1013.65,ND,ND
199.5,82.25,-336.0,0.1,-19.85,1013.85,ND,ND
246.75,89.25,-350.0,0.0,-20.0,1013.6,ND,ND
175.0,71.75,-351.75,0.1,-19.4,1013.9,ND,ND
173.25,84.0,-336.0,0.1,-20.0,1013.95,ND,ND
189.0,92.75,-329.0,0.15,-20.05,1013.6,ND,ND
220.5,73.5,-337.75,0.2,-20.05,1014.1,ND,ND
190.75,68.25,-357.0,0.2,-19.45,1013.6,ND,ND
211.75,87.5,-344.75,0.1,-20.2,1013.75,ND,ND
224.0,85.75,-343.0,0.15,-20.35,1014.0,ND,ND
152.25,71.75,-348.25,0.05,-19.55,1013.5,ND,ND
248.5,110.25,-332.5,0.1,-20.45,1014.1,ND,ND
201.25,84.0,-337.75,0.1,-19.45,1013.8,ND,ND
185.5,71.75,-343.0,0.25,-20.4,1013.8,ND,ND
185.5,71.75,-341.25,0.1,-20.0,1013.6,ND,ND
243.25,108.5,-343.0,0.25,-19.65,1013.45,ND,ND
169.75,89.25,-346.5,0.15,-19.7,1013.85,ND,ND
190.75,89.25,-332.5,0.35,-20.0,1013.6,ND,ND
189.0,85.75,-341.25,0.3,-19.8,1014.15,ND,ND
203.0,89.25,-344.75,0.05,-20.05,1013.5,ND,ND
176.75,85.75,-344.75,0.35,-20.1,1014.4,ND,ND
196.0,84.0,-341.25,-0.45,-19.3,1013.3,ND,ND
245.0,101.5,-348.25,0.3,-20.35,1013.95,ND,ND
164.5,78.75,-343.0,0.2,-19.2,1013.95,ND,ND
197.75,94.5,-336.0,0.15,-20.55,1013.8,ND,ND
190.75,77.0,-350.0,0.6,-20.3,1013.8,ND,ND
227.5,87.5,-337.75,0.2,-19.35,1013.4,ND,ND
308.0,110.25,-339.5,0.2,-19.7,1013.5,ND,ND
117.25,70.0,-337.75,0.4,-20.2,1014.55,ND,ND
108.5,52.5,-343.0,0.3,-19.4,1013.2,ND,ND
257.25,103.25,-337.75,0.75,-20.65,1013.55,ND,ND
201.25,87.5,-343.0,0.35,-19.75,1014.15,ND,ND
150.5,91.0,-332.5,0.15,-19.65,1013.45,ND,ND
210.0,82.25,-341.25,0.25,-20.0,1013.8,ND,ND
232.75,101.5,-337.75,0.05,-19.9,1013.65,ND,ND
178.5,78.75,-346.5,0.05,-19.55,1013.35,ND,ND
189.0,85.75,-344.75,0.1,-20.2,1013.85,ND,ND
238.0,108.5,-344.75,0.15,-19.4,1013.45,ND,ND
154.0,78.75,-344.75,0.4,-20.1,1013.65,ND,ND
231.0,87.5,-336.0,0.0,-19.7,1013.7,ND,ND
204.75,73.5,-336.0,0.2,-19.8,1013.5,ND,ND
176.75,78.75,-343.0,0.15,-19.9,1014.25,ND,ND
203.0,78.75,-339.5,0.15,-19.65,1013.35,ND,ND
213.5,91.0,-348.25,0.1,-19.85,1014.0,ND,ND
190.75,103.25,-346.5,-0.05,-20.0,1013.9,ND,ND
206.5,87.5,-341.25,0.05,-20.25,1013.45,ND,ND
285.25,115.5,-343.0,0.25,-20.25,1014.3,ND,ND
147.0,80.5,-346.5,0.25,-18.95,1013.55,ND,ND
148.75,70.0,-348.25,0.15,-20.4,1014.1,ND,ND
192.5,96.25,-339.5,0.5,-21.3,1014.05,ND,ND
119.0,64.75,-336.0,0.05,-19.95,1014.05,ND,ND
351.75,126.0,-344.75,-0.5,-17.4,1012.9,ND,ND
154.0,77.0,-346.5,1.1,-22.6,1014.95,ND,ND
185.5,84.0,-334.25,-0.05,-18.8,1013.0,ND,ND
927.5,294.0,-346.5,-2.35,-13.4,1008.65,ND,ND
-231.0,-35.0,-346.5,3.3,-28.8,1021.55,ND,ND
-63.0,19.25,-344.75,-0.75,-13.65,1009.75,ND,ND
-29.75,8.75,-348.25,1.9,-28.5,1014.7,ND,ND
131.25,68.25,-343.0,0.25,-19.2,1012.8,ND,ND
628.25,248.5,-327.25,0.55,-18.8,1015.1,ND,ND
164.5,96.25,-334.25,-0.05,-19.2,1012.7,ND,ND
-61.25,-17.5,-343.0,1.3,-23.55,1015.2,ND,ND
-175.0,-22.75,-357.0,-0.75,-16.6,1011.65,ND,ND
857.5,264.25,-336.0,0.65,-20.95,1014.2,ND,ND
-3.5,31.5,-343.0,0.25,-21.4,1014.25,ND,ND
276.5,117.25,-341.25,0.0,-17.1,1013.0,ND,ND
190.75,89.25,-344.75,0.35,-21.35,1014.05,ND,ND
75.25,56.0,-346.5,0.2,-20.8,1013.95,ND,ND
295.75,105.0,-334.25,0.05,-19.55,1013.6,ND,ND
196.0,99.75,-348.25,0.45,-20.7,1014.45,ND,ND
175.0,80.5,-344.75,0.1,-19.5,1013.35,ND,ND
269.5,112.0,-350.0,0.3,-20.25,1013.75,ND,ND
161.0,112.0,-336.0,0.55,-21.3,1014.6,ND,ND
309.75,134.75,-327.25,-0.15,-18.4,1012.85,ND,ND
52.5,31.5,-341.25,0.75,-22.8,1015.3,ND,ND
171.5,84.0,-343.0,-0.35,-17.8,1012.45,ND,ND
